iter	Passed	Remaining
400	25284	37768
401	25345	37702
402	25435	37680
403	25496	37612
404	25571	37568
405	25633	37503
406	25685	37423
407	25729	37333
408	25783	37257
409	25850	37198
410	25899	37116
411	25944	37027
412	26002	36957
413	26066	36895
414	26121	36821
415	26170	36739
416	26231	36674
417	26301	36621
418	26353	36543
419	26406	36465
420	26463	36395
421	26523	36327
422	26575	36250
423	26649	36203
424	26745	36185
425	26812	36128
426	26869	36056
427	26918	35975
428	27013	35954
429	27071	35885
430	27132	35819
431	27196	35758
432	27275	35716
433	27328	35640
434	27376	35558
435	27424	35476
436	27469	35389
437	27542	35340
438	27602	35273
439	27658	35202
440	27714	35129
441	27785	35077
442	27883	35059
443	27955	35007
444	28056	34991
445	28121	34931
446	28172	34853
447	28224	34777
448	28320	34753
449	28375	34681
450	28436	34615
451	28491	34542
452	28542	34464
453	28597	34393
454	28642	34307
455	28685	34220
456	28726	34132
457	28785	34064
458	28834	33986
459	28882	33906
460	28925	33820
461	28975	33741
462	29039	33680
463	29092	33607
464	29159	33549
465	29239	33506
466	29341	33488
467	29400	33421
468	29459	33353
469	29524	33294
470	29570	33211
471	29615	33128
472	29663	33049
473	29725	32986
474	29772	32906
475	29817	32824
476	29860	32739
477	29922	32677
478	29965	32593
479	30016	32517
480	30069	32445
481	30117	32366
482	30184	32308
483	30229	32228
484	30277	32150
485	30329	32076
486	30390	32013
487	30480	31979
488	30551	31925
489	30632	31882
490	30683	31808
491	30733	31732
492	30781	31655
493	30830	31579
494	30892	31516
495	30939	31438
496	30988	31362
497	31030	31280
498	31075	31200
499	31131	31131
500	31181	31057
501	31231	30982
502	31277	30904
503	31325	30828
504	31392	30770
505	31433	30687
506	31478	30608
507	31521	30528
508	31568	30452
509	31634	30393
510	31696	30332
511	31758	30270
512	31834	30220
513	31900	30162
514	31949	30087
515	31994	30010
516	32041	29934
517	32085	29856
518	32145	29792
519	32192	29716
520	32238	29639
521	32284	29563
522	32332	29488
523	32387	29420
524	32445	29355
525	32521	29306
526	32606	29265
527	32703	29234
528	32754	29163
529	32797	29084
530	32867	29029
531	32992	29023
532	33137	29034
533	33190	28963
534	33241	28891
535	33281	28810
536	33326	28733
537	33384	28668
538	33440	28601
539	33481	28521
540	33527	28445
541	33570	28368
542	33628	28302
543	33676	28228
544	33722	28153
545	33771	28081
546	33819	28007
547	33884	27948
548	33926	27870
549	33974	27797
550	34019	27721
551	34064	27646
552	34115	27576
553	34184	27520
554	34273	27480
555	34390	27463
556	34461	27408
557	34521	27345
558	34584	27283
559	34659	27232
560	34718	27168
561	34774	27101
562	34834	27038
563	34894	26975
564	34951	26909
565	34996	26834
566	35043	26761
567	35086	26685
568	35146	26622
569	35193	26549
570	35238	26474
571	35282	26400
572	35327	26326
573	35373	26253
574	35421	26181
575	35476	26114
576	35536	26051
577	35606	25996
578	35672	25938
579	35719	25865
580	35760	25789
581	35801	25712
582	35857	25647
583	35907	25578
584	35954	25506
585	36001	25434
586	36054	25367
587	36115	25305
588	36162	25233
589	36205	25159
590	36252	25088
591	36310	25024
592	36388	24974
593	36440	24906
594	36488	24836
595	36555	24779
596	36632	24728
597	36688	24663
598	36756	24606
599	36818	24545
600	36900	24497
601	36954	24432
602	37000	24360
603	37046	24289
604	37117	24234
605	37188	24178
606	37232	24106
607	37277	24033
608	37325	23964
609	37385	23901
610	37430	23830
611	37473	23757
612	37518	23686
613	37577	23623
614	37618	23549
615	37656	23474
616	37700	23402
617	37758	23339
618	37829	23284
619	37878	23215
620	37929	23148
621	37998	23092
622	38071	23038
623	38136	22979
624	38190	22914
625	38237	22845
626	38289	22778
627	38342	22712
628	38388	22642
629	38433	22572
630	38475	22500
631	38531	22436
632	38579	22367
633	38624	22297
634	38669	22227
635	38713	22156
636	38772	22094
637	38821	22027
638	38869	21959
639	38917	21891
640	38958	21819
641	39019	21758
642	39067	21690
643	39109	21619
644	39150	21548
645	39208	21485
646	39292	21437
647	39351	21376
648	39413	21315
649	39454	21244
650	39501	21176
651	39553	21111
652	39600	21043
653	39645	20974
654	39689	20905
655	39748	20843
656	39793	20774
657	39835	20704
658	39876	20634
659	39919	20564
660	39973	20500
661	40039	20443
662	40104	20384
663	40155	20319
664	40204	20253
665	40253	20187
666	40297	20118
667	40341	20050
668	40389	19983
669	40462	19929
670	40521	19868
671	40579	19806
672	40634	19743
673	40691	19681
674	40740	19615
675	40786	19548
676	40827	19478
677	40871	19411
678	40928	19349
679	40975	19282
680	41019	19214
681	41065	19147
682	41111	19080
683	41168	19019
684	41217	18954
685	41277	18893
686	41329	18829
687	41387	18768
688	41445	18707
689	41497	18643
690	41546	18578
691	41599	18515
692	41682	18465
693	41757	18411
694	41875	18377
695	41925	18312
696	41973	18246
697	42016	18179
698	42059	18111
699	42110	18047
700	42159	17982
701	42204	17915
702	42248	17849
703	42291	17781
704	42343	17718
705	42394	17654
706	42434	17585
707	42480	17520
708	42520	17451
709	42567	17386
710	42620	17323
711	42663	17257
712	42705	17189
713	42751	17124
714	42807	17062
715	42851	16996
716	42901	16933
717	42958	16872
718	43028	16816
719	43102	16762
720	43150	16697
721	43191	16630
722	43240	16566
723	43297	16505
724	43342	16440
725	43386	16374
726	43430	16308
727	43489	16248
728	43536	16184
729	43577	16117
730	43621	16052
731	43665	15986
732	43720	15925
733	43773	15863
734	43814	15797
735	43859	15732
736	43901	15666
737	43952	15603
738	43999	15539
739	44045	15475
740	44087	15409
741	44137	15347
742	44228	15298
743	44283	15237
744	44336	15175
745	44388	15113
746	44431	15048
747	44485	14986
748	44532	14923
749	44574	14858
750	44619	14794
751	44676	14733
752	44721	14669
753	44763	14604
754	44809	14540
755	44858	14478
756	44917	14418
757	44970	14357
758	45009	14291
759	45055	14228
760	45099	14163
761	45166	14107
762	45214	14044
763	45262	13981
764	45307	13918
765	45356	13855
766	45443	13804
767	45506	13746
768	45569	13688
769	45625	13628
770	45677	13566
771	45731	13506
772	45773	13441
773	45821	13379
774	45867	13316
775	45926	13257
776	45977	13195
777	46028	13134
778	46097	13077
779	46171	13022
780	46222	12961
781	46272	12899
782	46322	12837
783	46366	12774
784	46427	12715
785	46470	12652
786	46515	12589
787	46556	12525
788	46599	12461
789	46693	12412
790	46762	12355
791	46838	12300
792	47006	12270
793	47114	12223
794	47170	12163
795	47224	12102
796	47291	12045
797	47344	11984
798	47388	11921
799	47436	11859
800	47518	11805
801	47566	11743
802	47612	11680
803	47688	11625
804	47754	11567
805	47809	11507
806	47880	11450
807	48080	11425
808	48152	11368
809	48194	11304
810	48242	11242
811	48288	11180
812	48333	11117
813	48375	11053
814	48419	10991
815	48461	10927
816	48508	10865
817	48552	10802
818	48596	10739
819	48639	10676
820	48679	10613
821	48725	10551
822	48768	10488
823	48811	10425
824	48855	10363
825	48898	10300
826	48943	10238
827	48991	10176
828	49032	10114
829	49073	10051
830	49118	9989
831	49164	9927
832	49226	9868
833	49283	9809
834	49335	9748
835	49390	9689
836	49430	9626
837	49475	9564
838	49517	9502
839	49561	9440
840	49606	9378
841	49647	9316
842	49689	9254
843	49731	9192
844	49775	9130
845	49817	9068
846	49860	9006
847	49901	8944
848	49942	8882
849	49990	8821
850	50038	8761
851	50079	8699
852	50123	8637
853	50170	8577
854	50214	8515
855	50261	8455
856	50323	8397
857	50380	8337
858	50443	8279
859	50514	8223
860	50569	8163
861	50630	8105
862	50679	8045
863	50729	7985
864	50775	7924
865	50818	7863
866	50864	7802
867	50909	7741
868	50960	7682
869	51005	7621
870	51048	7560
871	51088	7499
872	51132	7438
873	51175	7377
874	51220	7317
875	51266	7256
876	51309	7196
877	51355	7135
878	51402	7075
879	51450	7016
880	51495	6955
881	51540	6895
882	51585	6835
883	51640	6776
884	51699	6718
885	51755	6659
886	51809	6600
887	51860	6541
888	51902	6480
889	51947	6420
890	51993	6360
891	52042	6301
892	52089	6241
893	52136	6181
894	52181	6121
895	52223	6061
896	52266	6001
897	52310	5941
898	52352	5881
899	52396	5821
900	52442	5762
901	52489	5702
902	52554	5645
903	52618	5587
904	52662	5528
905	52706	5468
906	52751	5408
907	52798	5349
908	52848	5290
909	52909	5232
910	52975	5175
911	53041	5118
912	53101	5060
913	53163	5002
914	53207	4942
915	53256	4883
916	53301	4824
917	53345	4765
918	53390	4705
919	53439	4646
920	53485	4587
921	53531	4528
922	53579	4469
923	53624	4410
924	53665	4351
925	53710	4292
926	53753	4233
927	53797	4173
928	53840	4114
929	53885	4055
930	53939	3997
931	53983	3938
932	54032	3880
933	54076	3821
934	54119	3762
935	54171	3704
936	54229	3646
937	54286	3588
938	54346	3530
939	54398	3472
940	54447	3413
941	54489	3354
942	54531	3296
943	54572	3237
944	54618	3178
945	54659	3120
946	54704	3061
947	54751	3003
948	54799	2944
949	54843	2886
950	54886	2828
951	54934	2769
952	54978	2711
953	55018	2652
954	55061	2594
955	55103	2536
956	55146	2477
957	55187	2419
958	55228	2361
959	55274	2303
960	55317	2244
961	55361	2186
962	55415	2129
963	55479	2071
964	55535	2014
965	55589	1956
966	55636	1898
967	55678	1840
968	55725	1782
969	55770	1724
970	55811	1666
971	55852	1608
972	55897	1551
973	55945	1493
974	55990	1435
975	56035	1377
976	56075	1320
977	56116	1262
978	56160	1204
979	56202	1146
980	56247	1089
981	56290	1031
982	56336	974
983	56378	916
984	56424	859
985	56464	801
986	56505	744
987	56550	686
988	56592	629
989	56646	572
990	56702	514
991	56757	457
992	56821	400
993	56867	343
994	56916	286
995	56959	228
996	57003	171
997	57046	114
998	57087	57
999	57128	0
