iter	RMSE
181	2.499034358
182	2.49669364
183	2.494249635
184	2.492213653
185	2.490076912
186	2.48829877
187	2.486478709
188	2.484544354
189	2.482973459
190	2.480728163
191	2.478608609
192	2.476561207
193	2.474628915
194	2.472548993
195	2.470882564
196	2.469185402
197	2.467616002
198	2.466150966
199	2.464651047
200	2.463448015
201	2.462058279
202	2.460810856
203	2.458148749
204	2.455815287
205	2.45358466
206	2.451440923
207	2.449121937
208	2.446892407
209	2.444800205
210	2.442849821
211	2.441022959
212	2.439224134
213	2.437534267
214	2.43591787
215	2.434446184
216	2.433027545
217	2.431642591
218	2.430332681
219	2.429094733
220	2.427776026
221	2.42668414
222	2.425604029
223	2.424651511
224	2.423624363
225	2.422622745
226	2.421730832
227	2.420913551
228	2.420156625
229	2.419340058
230	2.418561348
231	2.41778225
232	2.416920317
233	2.41612768
234	2.41546237
235	2.414993892
236	2.414272792
237	2.413563308
238	2.412970353
239	2.412335738
240	2.411953228
241	2.411364178
242	2.410871834
243	2.410354021
244	2.409884031
245	2.409524773
246	2.409252114
247	2.40889034
248	2.408384557
249	2.407878868
250	2.407377831
251	2.40697445
252	2.406624871
253	2.406254385
254	2.405958487
255	2.405551507
256	2.405141859
257	2.404873922
258	2.40461102
259	2.404207074
260	2.403905909
261	2.403507319
262	2.403090487
263	2.402775506
264	2.402533883
265	2.402019453
266	2.40166306
267	2.4014747
268	2.401116529
269	2.400718275
270	2.400379671
271	2.400239399
272	2.39991396
273	2.399724498
274	2.399531882
275	2.399301102
276	2.399148057
277	2.398888424
278	2.398661677
279	2.398447347
280	2.398211099
281	2.397819201
282	2.39753176
283	2.397369124
284	2.397123706
285	2.396766927
286	2.396430361
287	2.396203859
288	2.395951956
289	2.395726251
290	2.395363838
291	2.395145294
292	2.394905673
293	2.394595652
294	2.394402705
295	2.39415612
296	2.393917358
297	2.393727422
298	2.393538078
299	2.393298288
300	2.393087978
301	2.392950548
302	2.392741154
303	2.39256227
304	2.39225248
305	2.392105393
306	2.391874774
307	2.391645739
308	2.391471241
309	2.391280409
310	2.391172247
311	2.39081792
312	2.390597944
313	2.390460329
314	2.390153838
315	2.390024187
316	2.389838003
317	2.389608315
318	2.389489222
319	2.389283965
320	2.38908177
321	2.388960043
322	2.388775451
323	2.388612886
324	2.388353509
325	2.388222986
326	2.388106544
327	2.38792062
328	2.387804402
329	2.387736431
330	2.387612251
331	2.387501234
332	2.387385857
333	2.387261802
334	2.386968895
335	2.386844557
336	2.386682842
337	2.386418607
338	2.386312919
339	2.38608975
340	2.385957739
341	2.385843012
342	2.385560827
343	2.385448028
344	2.385327911
345	2.385173178
346	2.385068703
347	2.38493632
348	2.384825269
349	2.384669458
350	2.384483917
351	2.384428981
352	2.384357233
353	2.384176557
354	2.384069071
355	2.3839093
356	2.383845151
357	2.38373035
358	2.383586192
359	2.383488934
360	2.383362319
361	2.383181396
362	2.383100079
363	2.383037368
364	2.38293461
365	2.382818453
366	2.382721749
367	2.382603225
368	2.38253906
369	2.382450812
370	2.382283358
371	2.382199036
372	2.382163217
373	2.382061369
374	2.381936915
375	2.381855176
376	2.38174924
377	2.381591619
378	2.381353063
379	2.381216449
380	2.381079774
381	2.380966922
382	2.380852806
383	2.380781895
384	2.380708084
385	2.380545799
386	2.380429788
387	2.38025147
388	2.380137879
389	2.380034997
390	2.379938179
391	2.379865034
392	2.379810903
393	2.379606924
394	2.379550965
395	2.379473387
396	2.379381671
397	2.379340198
398	2.379270533
399	2.379145867
400	2.379034454
401	2.378912284
402	2.37881022
403	2.378720615
404	2.37857868
405	2.378477414
406	2.378350911
407	2.378256348
408	2.378122724
409	2.378043474
410	2.377940851
411	2.377888588
412	2.377804319
413	2.377629571
414	2.377560897
415	2.377491291
416	2.37738398
417	2.377293515
418	2.377198605
419	2.377140046
420	2.377057563
421	2.376986965
422	2.376945929
423	2.376866738
424	2.376758648
425	2.37671078
426	2.376632614
427	2.376519851
428	2.376430259
429	2.37626027
430	2.37619925
431	2.376006883
432	2.375907666
433	2.375743801
434	2.375645259
435	2.37558231
436	2.375475516
437	2.375413781
438	2.375299727
439	2.375240456
440	2.375102754
441	2.375050675
442	2.37500995
443	2.374939926
444	2.374848493
445	2.374753293
446	2.37468771
447	2.374550355
448	2.374482316
449	2.374397208
450	2.374350691
451	2.374264341
452	2.374228034
453	2.374168014
454	2.373983272
455	2.373925937
456	2.373869557
457	2.373819403
458	2.373775222
459	2.373656632
460	2.373591192
461	2.373492921
462	2.373439674
463	2.373277492
464	2.373178096
465	2.373092998
466	2.373030214
467	2.372980272
468	2.372883595
469	2.37282939
470	2.37274427
471	2.372694974
472	2.372599993
473	2.372559768
474	2.372459361
475	2.372433708
476	2.372336817
477	2.372298151
478	2.372251708
479	2.372107343
480	2.372068893
481	2.372010025
482	2.371964119
483	2.371912343
484	2.371852661
485	2.371835646
486	2.371761034
487	2.371714167
488	2.371613073
489	2.371481066
490	2.371389258
491	2.371345632
492	2.371300107
493	2.371244346
494	2.371204849
495	2.371156239
496	2.371119062
497	2.371071744
498	2.371020673
499	2.370980771
500	2.370924104
501	2.370871588
502	2.370794061
503	2.37076937
504	2.370709643
505	2.37064868
506	2.370561537
507	2.370518966
508	2.370493173
509	2.370387037
510	2.370309076
511	2.370225292
512	2.370157332
513	2.370040643
514	2.369990876
515	2.369935144
516	2.369871941
517	2.369830172
518	2.369755305
519	2.36970025
520	2.369624212
521	2.369524893
522	2.369460498
523	2.369351383
524	2.369247374
525	2.369187483
526	2.369140732
527	2.369098126
528	2.369045145
529	2.369004752
530	2.368915275
531	2.368877621
532	2.368820414
533	2.368759453
534	2.368710147
535	2.368635458
536	2.368611956
537	2.368513545
538	2.368472151
539	2.368438781
540	2.368400374
541	2.36831826
542	2.368296079
543	2.368269835
544	2.36820552
545	2.368188786
546	2.368147786
547	2.368115228
548	2.368048443
549	2.367958244
550	2.367879673
551	2.367824454
552	2.367796155
553	2.36772172
554	2.367676808
555	2.367633801
556	2.367514293
557	2.367482877
558	2.367434876
559	2.367373766
560	2.367334003
561	2.367235942
562	2.367144536
563	2.367096945
564	2.367028093
565	2.366997672
566	2.366929095
567	2.366882364
568	2.366819827
569	2.366767858
570	2.366726426
571	2.366674629
572	2.366647369
573	2.366572393
574	2.366529293
575	2.366397713
576	2.366362652
577	2.366324328
578	2.366301312
579	2.366162614
580	2.366111276
581	2.366064278
582	2.366008112
583	2.365940058
584	2.365884794
585	2.365825864
586	2.365795056
587	2.365719048
588	2.36568611
589	2.365605981
590	2.365582004
591	2.365530867
592	2.365486264
593	2.365438511
594	2.365326573
595	2.365268684
596	2.365223835
597	2.365181428
598	2.365155861
599	2.365114982
600	2.365062114
601	2.364993538
602	2.364961433
603	2.364919174
604	2.364835524
605	2.364771533
606	2.36469357
607	2.364647886
608	2.364607253
609	2.364580758
610	2.364531792
611	2.364494032
612	2.364468669
613	2.364441049
614	2.364383916
615	2.364326181
616	2.364297623
617	2.364270443
618	2.364238288
619	2.364158495
620	2.364140734
621	2.364111965
622	2.364047751
623	2.364032202
624	2.36399406
625	2.363974293
626	2.363939784
627	2.363878064
628	2.363841061
629	2.36380274
630	2.363754493
631	2.363726148
632	2.363683808
633	2.363636774
634	2.363581047
635	2.363539981
636	2.363494584
637	2.363451768
638	2.363404018
639	2.363376324
640	2.363316253
641	2.36326753
642	2.36320625
643	2.36317799
644	2.363132271
645	2.363069775
646	2.363016958
647	2.362976964
648	2.362943622
649	2.362913649
650	2.362843298
651	2.362797484
652	2.362742337
653	2.362696393
654	2.362633446
655	2.362560869
656	2.362523676
657	2.362483801
658	2.362438365
659	2.362393273
660	2.362361881
661	2.362327646
662	2.362267121
663	2.36221272
664	2.362185523
665	2.362157571
666	2.362110034
667	2.362053517
668	2.361995973
669	2.361936791
670	2.361914026
671	2.361825799
672	2.361765007
673	2.361721404
674	2.361674708
675	2.361637779
676	2.361574781
677	2.361514055
678	2.361464714
679	2.36137903
680	2.361327032
681	2.361288988
682	2.361226979
683	2.361181382
684	2.361152763
685	2.361085297
686	2.361036945
687	2.360987734
688	2.36095705
689	2.360929587
690	2.360872234
691	2.360816457
692	2.360778715
693	2.360751266
694	2.360716318
695	2.360652846
696	2.360633906
697	2.360583105
698	2.360528991
699	2.360471526
700	2.360449974
701	2.360415172
702	2.360352085
703	2.360293579
704	2.360244109
705	2.360217834
706	2.360141327
707	2.360120392
708	2.360050071
709	2.360013547
710	2.359981409
711	2.359949913
712	2.359886222
713	2.359859932
714	2.359812366
715	2.359723495
716	2.359694923
717	2.359661031
718	2.359616354
719	2.359582267
720	2.359546369
721	2.359492818
722	2.359452929
723	2.359431982
724	2.359351533
725	2.359324278
726	2.359284167
727	2.359241365
728	2.359220165
729	2.359174043
730	2.359151407
731	2.359136217
732	2.359086039
733	2.359017198
734	2.35894848
735	2.358909563
736	2.358836886
737	2.358803401
738	2.358752055
739	2.358696881
740	2.358656144
741	2.358621211
742	2.358579167
743	2.358553319
744	2.358511819
745	2.358459606
746	2.35844188
747	2.35839167
748	2.35837208
749	2.358330662
750	2.358286227
751	2.358247995
752	2.358231246
753	2.358183334
754	2.358152728
755	2.358112266
756	2.358075045
757	2.3580282
758	2.357982109
759	2.357934411
760	2.357906541
761	2.357869877
762	2.357801127
763	2.357773084
764	2.357743663
765	2.357708936
766	2.357688981
767	2.357647688
768	2.35762591
769	2.357590193
770	2.357558795
771	2.357508965
772	2.357438104
773	2.357388871
774	2.357349957
775	2.357316644
776	2.357296381
777	2.357249683
778	2.357196544
779	2.357120697
780	2.357085472
781	2.357049695
782	2.356995895
783	2.356967172
784	2.356922601
785	2.356871266
786	2.356849986
787	2.356795291
788	2.356783081
789	2.356756933
790	2.356736251
791	2.356675158
792	2.356595747
793	2.356577887
794	2.356564208
795	2.356532518
796	2.356502348
797	2.356477218
798	2.356461225
799	2.356413634
800	2.356384699
801	2.356324872
802	2.356283845
803	2.356266862
804	2.35623665
805	2.356214567
806	2.356196613
807	2.35612468
808	2.356089906
809	2.356063055
810	2.356033099
811	2.355991026
812	2.355964041
813	2.355926369
814	2.355905259
815	2.355869467
816	2.355834854
817	2.355802453
818	2.355761821
819	2.355742737
820	2.355649227
821	2.35558258
822	2.355546495
823	2.355527066
824	2.355464311
825	2.355416547
826	2.355387903
827	2.355344838
828	2.355314111
829	2.355270952
830	2.355227757
831	2.355202055
832	2.355160002
833	2.355126342
834	2.355111393
835	2.355079566
836	2.355034658
837	2.355010829
838	2.35497824
839	2.354961999
840	2.354952251
841	2.354927839
842	2.354891877
843	2.354851672
844	2.354824811
845	2.354773948
846	2.354751117
847	2.354731944
848	2.354703593
849	2.35467897
850	2.354654613
851	2.354622446
852	2.354576315
853	2.35456888
854	2.354531376
855	2.354520194
856	2.35447534
857	2.354448859
858	2.35441161
859	2.354372298
860	2.354317684
861	2.354279641
862	2.35424771
863	2.354195767
864	2.35415427
865	2.35409114
866	2.35407232
867	2.354052871
868	2.354022918
869	2.353993635
870	2.353973733
871	2.353944519
872	2.353916955
873	2.353886499
874	2.353863527
875	2.353822051
876	2.353793268
877	2.353787869
878	2.353764635
879	2.353713175
880	2.353682909
881	2.353665699
882	2.353635426
883	2.353609135
884	2.353586579
885	2.353547713
886	2.353514431
887	2.353495849
888	2.353469362
889	2.353423483
890	2.353380972
891	2.35328631
892	2.353258028
893	2.353225218
894	2.353200622
895	2.353157094
896	2.353120205
897	2.353090497
898	2.353042731
899	2.353018811
900	2.352987337
901	2.35295355
902	2.352917342
903	2.352865984
904	2.35285367
905	2.352826632
906	2.352806332
907	2.352780444
908	2.352748422
909	2.35272953
910	2.352705845
911	2.352679952
912	2.352632384
913	2.352599863
914	2.352567245
915	2.352506519
916	2.352490081
917	2.352463366
918	2.352434896
919	2.352405946
920	2.35237459
921	2.352329504
922	2.352302062
923	2.352263099
924	2.352250248
925	2.352240102
926	2.352209391
927	2.352186445
928	2.352139823
929	2.352124993
930	2.352092479
931	2.352034279
932	2.351999082
933	2.351983052
934	2.351960018
935	2.351937164
936	2.351909879
937	2.351878474
938	2.351865184
939	2.351853371
940	2.351842138
941	2.351813866
942	2.351784062
943	2.351753591
944	2.351723294
945	2.351671324
946	2.351652577
947	2.351619428
948	2.351597614
949	2.351581172
950	2.351553029
951	2.351539072
952	2.351518986
953	2.35147263
954	2.351433497
955	2.351375186
956	2.351341621
957	2.351329661
958	2.351301952
959	2.351276759
960	2.351265078
961	2.351244689
962	2.351226408
963	2.351200066
964	2.351173305
965	2.351124568
966	2.351096336
967	2.351074724
968	2.351067188
969	2.351012599
970	2.350986242
971	2.350953331
972	2.350918759
973	2.350890658
974	2.350847482
975	2.350837141
976	2.350802816
977	2.350772091
978	2.350746349
979	2.350730514
980	2.350687228
981	2.350644028
982	2.350623328
983	2.350575141
984	2.350547544
985	2.350521558
986	2.350514126
987	2.350487528
988	2.350443507
989	2.350425469
990	2.350372045
991	2.350351698
992	2.350335152
993	2.350304121
994	2.350275933
995	2.350254705
996	2.350220877
997	2.350194712
998	2.350181876
999	2.350151281
